APC,Prov_State,OutptSvcs,AvgEstSubChg,AvgTotPay
0012 - Level I Debridement & Destruction,AK,295,220.88,115.82
0012 - Level I Debridement & Destruction,AL,955,545.94,70
0012 - Level I Debridement & Destruction,AR,975,297.69,80.08
0012 - Level I Debridement & Destruction,AZ,700,383.83,91.06
0012 - Level I Debridement & Destruction,CA,3350,481.04,113.34
0012 - Level I Debridement & Destruction,CO,1013,515.05,83.83
0012 - Level I Debridement & Destruction,CT,1105,327.04,105.97
0012 - Level I Debridement & Destruction,DC,119,459.3,81.31
0012 - Level I Debridement & Destruction,DE,78,433.24,95.81
0012 - Level I Debridement & Destruction,FL,2917,517.67,85.59
0012 - Level I Debridement & Destruction,GA,1984,717.6,79.94
0012 - Level I Debridement & Destruction,HI,167,204.43,110.36
0012 - Level I Debridement & Destruction,IA,2330,216.23,90.31
0012 - Level I Debridement & Destruction,ID,787,200.93,82.94
0012 - Level I Debridement & Destruction,IL,4357,337.15,83.36
0012 - Level I Debridement & Destruction,IN,2099,339.26,85.12
0012 - Level I Debridement & Destruction,KS,1352,296.27,86.46
0012 - Level I Debridement & Destruction,KY,852,493.89,81.55
0012 - Level I Debridement & Destruction,LA,482,514.95,59.7
0012 - Level I Debridement & Destruction,MA,2284,433.07,99.93
0012 - Level I Debridement & Destruction,ME,1221,181.8,84.79
0012 - Level I Debridement & Destruction,MI,3019,260.16,90.46
0012 - Level I Debridement & Destruction,MN,2861,207.67,85.56
0012 - Level I Debridement & Destruction,MO,1533,368.72,86.63
0012 - Level I Debridement & Destruction,MS,565,531.93,75.66
0012 - Level I Debridement & Destruction,MT,911,169.93,90.93
0012 - Level I Debridement & Destruction,NC,2362,372.45,85.04
0012 - Level I Debridement & Destruction,ND,1831,201.48,93.07
0012 - Level I Debridement & Destruction,NE,1202,302.85,87.05
0012 - Level I Debridement & Destruction,NH,1331,259.94,90.12
0012 - Level I Debridement & Destruction,NJ,1250,517.1,89.57
0012 - Level I Debridement & Destruction,NM,322,748.98,87.48
0012 - Level I Debridement & Destruction,NV,432,536.08,89.9
0012 - Level I Debridement & Destruction,NY,2659,271.47,91.89
0012 - Level I Debridement & Destruction,OH,4470,270.68,87.85
0012 - Level I Debridement & Destruction,OK,978,407.96,81.52
0012 - Level I Debridement & Destruction,OR,1884,241.25,97.02
0012 - Level I Debridement & Destruction,PA,3513,492.05,85.9
0012 - Level I Debridement & Destruction,RI,110,489.48,94.4
0012 - Level I Debridement & Destruction,SC,815,511.67,81.48
0012 - Level I Debridement & Destruction,SD,1453,250.24,94.32
0012 - Level I Debridement & Destruction,TN,742,512.14,65.38
0012 - Level I Debridement & Destruction,TX,5284,459.27,77.98
0012 - Level I Debridement & Destruction,UT,1065,359.32,86.52
